date,Price
10/03/2019,8226.9
11/03/2019,9198.3
12/03/2019,7291.8
01/04/2019,3802.7
02/04/2019,3462.8
03/04/2019,3715.9
04/04/2019,4902.4
05/04/2019,5830.9
06/04/2019,7685.5
07/04/2019,11163.1
08/04/2019,10934.6
09/04/2019,10568.2
10/04/2019,8148.1
11/04/2019,9396.4
12/04/2019,7204.4
01/05/2019,3785.4
02/05/2019,3468.4
03/05/2019,3857.2
04/05/2019,5010.2
05/05/2019,5774.9
06/05/2019,7779.1
07/05/2019,10970.2
08/05/2019,11816.8
09/05/2019,10566.9
10/05/2019,8127.3
11/05/2019,9310.8
12/05/2019,7399.2
01/06/2019,4004.1
02/06/2019,3404.3
03/06/2019,3863
04/06/2019,5046.2
05/06/2019,5745.1
06/06/2019,7784.9
07/06/2019,11268
08/06/2019,11480.9
09/06/2019,10309.3
10/06/2019,7881.9
11/06/2019,9338.9
12/06/2019,7530.8
01/07/2019,3985.9
02/07/2019,3397.7
03/07/2019,3875.1
04/07/2019,5173.6
05/07/2019,5849.5
06/07/2019,7985.2
07/07/2019,11415.9
08/07/2019,12013.9
09/07/2019,10461.1
10/07/2019,8198.6
11/07/2019,9223.5
12/07/2019,7510.9
01/08/2019,3971
02/08/2019,3661.7
03/08/2019,3865.9
04/08/2019,5245.2
05/08/2019,5990.3
06/08/2019,7901.4
07/08/2019,12252.6
08/08/2019,12191.6
09/08/2019,10402.8
10/08/2019,8182.9
11/08/2019,8778.2
12/08/2019,7524.4
01/09/2019,3978
02/09/2019,3661.4
03/09/2019,3944.3
04/09/2019,5158.4
05/09/2019,6191.5
06/09/2019,7635
07/09/2019,12541.5
08/09/2019,12089.8
09/09/2019,10309
10/09/2019,8566.7
11/09/2019,8804.5
12/09/2019,7355.8
01/10/2019,3603.7
02/10/2019,3679
03/10/2019,3915.2
04/10/2019,5307.8
05/10/2019,6386
06/10/2019,7987.8
07/10/2019,12110.6
08/10/2019,11314.5
09/10/2019,10105.4
10/10/2019,8562.3
11/10/2019,9036.8
12/10/2019,7235.7
01/11/2019,3616.5
02/11/2019,3631.8
03/11/2019,3870.3
04/11/2019,5022.6
05/11/2019,7190.3
06/11/2019,7888
07/11/2019,11342.3
08/11/2019,11517.2
09/11/2019,10162.5
10/11/2019,8267.8
11/11/2019,8736.9
12/11/2019,7208
01/12/2019,3597.2
02/12/2019,3632
03/12/2019,3886
04/12/2019,5054.2
05/12/2019,6984.8
06/12/2019,8133.1
07/12/2019,11762.1
08/12/2019,11394.2
09/12/2019,10415.1
10/12/2019,8304.4
11/12/2019,8812.6
12/12/2019,7208
01/01/2020,7199.8
02/01/2020,9381.6
03/01/2020,8540
04/01/2020,6638.5
05/01/2020,8821.6
06/01/2020,10189.3
07/01/2020,9229.9
08/01/2020,11803.1
09/01/2020,11914.9
10/01/2020,10620.5
11/01/2020,13759.4
12/01/2020,18770.7
01/02/2020,6967
02/02/2020,9334.9
03/02/2020,8904.8
04/02/2020,6800.5
05/02/2020,8966.3
06/02/2020,9527.6
07/02/2020,9085.1
08/02/2020,11066.8
09/02/2020,11413.3
10/02/2020,10572.3
11/02/2020,13561.4
12/02/2020,19218.8
01/03/2020,7343.1
02/03/2020,9296.6
03/03/2020,8761.4
04/03/2020,6735.9
05/03/2020,8885.5
06/03/2020,9667.2
07/03/2020,9067.1
08/03/2020,11224.4
09/03/2020,10168.8
10/03/2020,10544.2
11/03/2020,14019.9
12/03/2020,19433.3
01/04/2020,7376.8
02/04/2020,9193.9
03/04/2020,8757.9
04/04/2020,6857.4
05/04/2020,8874.7
06/04/2020,9794.4
07/04/2020,9134.4
08/04/2020,11184.7
09/04/2020,10472.5
10/04/2020,10672.9
11/04/2020,14145.6
12/04/2020,18658.1
01/05/2020,7372.5
02/05/2020,9611.8
03/05/2020,9060.3
04/05/2020,6772.7
05/05/2020,9001
06/05/2020,9631.2
07/05/2020,9081
08/05/2020,11735.1
09/05/2020,10092.2
10/05/2020,10789.5
11/05/2020,15587.1
12/05/2020,19146.5
01/06/2020,7759.1
02/06/2020,9772
03/06/2020,9134.8
04/06/2020,7332.3
05/06/2020,9151.4
06/06/2020,9669.6
07/06/2020,9339
08/06/2020,11757.1
09/06/2020,10296.4
